frame,left,right,forward,backward
frame_105.jpg,1,0,1,0
frame_106.jpg,1,0,1,0
frame_107.jpg,1,0,1,0
frame_108.jpg,1,0,1,0
frame_109.jpg,1,0,1,0
frame_110.jpg,1,0,1,0
frame_111.jpg,1,0,1,0
frame_112.jpg,1,0,1,0
frame_113.jpg,1,0,1,0
frame_114.jpg,1,0,1,0
frame_115.jpg,1,0,1,0
frame_116.jpg,1,0,1,0
frame_117.jpg,1,0,1,0
frame_118.jpg,1,0,1,0
frame_119.jpg,1,0,1,0
frame_120.jpg,1,0,1,0
frame_121.jpg,1,0,1,0
frame_122.jpg,1,0,1,0
frame_123.jpg,1,0,1,0
frame_124.jpg,1,0,1,0
frame_125.jpg,1,0,1,0
frame_126.jpg,1,0,1,0
frame_127.jpg,1,0,1,0
frame_128.jpg,1,0,1,0
frame_129.jpg,1,0,1,0
frame_130.jpg,1,0,1,0
frame_131.jpg,1,0,1,0
frame_132.jpg,1,0,1,0
frame_133.jpg,1,0,1,0
frame_134.jpg,1,0,1,0
frame_135.jpg,1,0,1,0
frame_136.jpg,1,0,1,0
frame_137.jpg,1,0,1,0
frame_138.jpg,1,0,1,0
frame_139.jpg,1,0,1,0
frame_140.jpg,1,0,1,0
frame_141.jpg,1,0,1,0
frame_142.jpg,1,0,1,0
frame_143.jpg,1,0,1,0
frame_144.jpg,1,0,1,0
frame_145.jpg,1,0,1,0
frame_146.jpg,1,0,1,0
frame_147.jpg,1,0,1,0
frame_148.jpg,1,0,1,0
frame_149.jpg,1,0,1,0
frame_150.jpg,1,0,1,0
frame_151.jpg,1,0,1,0
frame_152.jpg,1,0,1,0
frame_153.jpg,1,0,1,0
frame_154.jpg,1,0,1,0
frame_155.jpg,1,0,1,0
frame_156.jpg,1,0,1,0
frame_157.jpg,1,0,1,0
frame_158.jpg,1,0,1,0
frame_159.jpg,1,0,1,0
frame_160.jpg,1,0,1,0
frame_161.jpg,1,0,1,0
frame_162.jpg,1,0,1,0
frame_163.jpg,1,0,1,0
frame_164.jpg,1,0,1,0
frame_165.jpg,1,0,1,0
frame_166.jpg,1,0,1,0
frame_167.jpg,1,0,1,0
frame_168.jpg,1,0,1,0
frame_169.jpg,1,0,1,0
frame_170.jpg,1,0,1,0
frame_171.jpg,1,0,1,0
frame_172.jpg,1,0,1,0
frame_173.jpg,1,0,1,0
frame_174.jpg,1,0,1,0
frame_175.jpg,1,0,1,0
frame_176.jpg,1,0,1,0
frame_177.jpg,1,0,1,0
frame_178.jpg,1,0,1,0
frame_179.jpg,1,0,1,0
frame_180.jpg,1,0,1,0
frame_181.jpg,1,0,1,0
frame_182.jpg,1,0,1,0
frame_183.jpg,1,0,1,0
frame_184.jpg,1,0,1,0
frame_185.jpg,1,0,1,0
frame_186.jpg,1,0,1,0
frame_187.jpg,1,0,1,0
frame_188.jpg,1,0,1,0
frame_189.jpg,1,0,1,0
frame_190.jpg,1,0,1,0
frame_191.jpg,1,0,1,0
frame_192.jpg,1,0,1,0
frame_193.jpg,1,0,1,0
frame_194.jpg,1,0,1,0
frame_195.jpg,1,0,1,0
frame_196.jpg,1,0,1,0
frame_197.jpg,1,0,1,0
frame_198.jpg,1,0,1,0
frame_199.jpg,1,0,1,0
frame_200.jpg,1,0,1,0
frame_201.jpg,1,0,1,0
frame_202.jpg,1,0,1,0
frame_203.jpg,1,0,1,0
frame_204.jpg,1,0,1,0
frame_205.jpg,1,0,1,0
frame_206.jpg,1,0,1,0
frame_207.jpg,1,0,1,0
frame_208.jpg,1,0,1,0
frame_209.jpg,1,0,1,0
frame_210.jpg,1,0,1,0
frame_211.jpg,1,0,1,0
frame_212.jpg,1,0,1,0
frame_213.jpg,1,0,1,0
frame_214.jpg,1,0,1,0
frame_215.jpg,1,0,1,0
frame_216.jpg,1,0,1,0
frame_217.jpg,1,0,1,0
frame_218.jpg,1,0,1,0
frame_219.jpg,1,0,1,0
frame_220.jpg,1,0,1,0
frame_221.jpg,1,0,1,0
frame_222.jpg,1,0,1,0
frame_223.jpg,1,0,1,0
frame_224.jpg,1,0,1,0
frame_225.jpg,1,0,1,0
frame_226.jpg,1,0,1,0
frame_227.jpg,1,0,1,0
frame_228.jpg,1,0,1,0
frame_229.jpg,1,0,1,0
frame_230.jpg,1,0,1,0
frame_231.jpg,1,0,1,0
frame_232.jpg,1,0,1,0
frame_233.jpg,1,0,1,0
frame_234.jpg,1,0,1,0
frame_235.jpg,1,0,1,0
frame_236.jpg,1,0,1,0
frame_237.jpg,1,0,1,0
frame_238.jpg,1,0,1,0
frame_239.jpg,1,0,1,0
frame_240.jpg,1,0,1,0
frame_105.jpg,1,0,1,0
frame_106.jpg,1,0,1,0
frame_107.jpg,1,0,1,0
frame_108.jpg,1,0,1,0
frame_109.jpg,1,0,1,0
frame_110.jpg,1,0,1,0
frame_111.jpg,1,0,1,0
frame_112.jpg,1,0,1,0
frame_113.jpg,1,0,1,0
frame_114.jpg,1,0,1,0
frame_115.jpg,1,0,1,0
frame_116.jpg,1,0,1,0
frame_117.jpg,1,0,1,0
frame_118.jpg,1,0,1,0
frame_119.jpg,1,0,1,0
frame_120.jpg,1,0,1,0
frame_121.jpg,1,0,1,0
frame_122.jpg,1,0,1,0
frame_123.jpg,1,0,1,0
frame_124.jpg,1,0,1,0
frame_125.jpg,1,0,1,0
frame_126.jpg,1,0,1,0
frame_127.jpg,1,0,1,0
frame_128.jpg,1,0,1,0
frame_129.jpg,1,0,1,0
frame_130.jpg,1,0,1,0
frame_131.jpg,1,0,1,0
frame_132.jpg,1,0,1,0
frame_133.jpg,1,0,1,0
frame_134.jpg,1,0,1,0
frame_135.jpg,1,0,1,0
frame_136.jpg,1,0,1,0
frame_137.jpg,1,0,1,0
frame_138.jpg,1,0,1,0
frame_139.jpg,1,0,1,0
frame_140.jpg,1,0,1,0
frame_141.jpg,1,0,1,0
frame_142.jpg,1,0,1,0
frame_143.jpg,1,0,1,0
frame_144.jpg,1,0,1,0
frame_145.jpg,1,0,1,0
frame_146.jpg,1,0,1,0
frame_147.jpg,1,0,1,0
frame_148.jpg,1,0,1,0
frame_149.jpg,1,0,1,0
frame_150.jpg,1,0,1,0
frame_151.jpg,1,0,1,0
frame_152.jpg,1,0,1,0
frame_153.jpg,1,0,1,0
frame_154.jpg,1,0,1,0
frame_155.jpg,1,0,1,0
frame_156.jpg,1,0,1,0
frame_157.jpg,1,0,1,0
frame_158.jpg,1,0,1,0
frame_159.jpg,1,0,1,0
frame_160.jpg,1,0,1,0
frame_161.jpg,1,0,1,0
frame_162.jpg,1,0,1,0
frame_163.jpg,1,0,1,0
frame_164.jpg,1,0,1,0
frame_165.jpg,1,0,1,0
frame_166.jpg,1,0,1,0
frame_167.jpg,1,0,1,0
frame_168.jpg,1,0,1,0
frame_169.jpg,1,0,1,0
frame_170.jpg,1,0,1,0
frame_171.jpg,1,0,1,0
frame_172.jpg,1,0,1,0
frame_173.jpg,1,0,1,0
frame_174.jpg,1,0,1,0
frame_175.jpg,1,0,1,0
frame_176.jpg,1,0,1,0
frame_177.jpg,1,0,1,0
frame_178.jpg,1,0,1,0
frame_179.jpg,1,0,1,0
frame_180.jpg,1,0,1,0
frame_181.jpg,1,0,1,0
frame_182.jpg,1,0,1,0
frame_183.jpg,1,0,1,0
frame_184.jpg,1,0,1,0
frame_185.jpg,1,0,1,0
frame_186.jpg,1,0,1,0
frame_187.jpg,1,0,1,0
frame_188.jpg,1,0,1,0
frame_189.jpg,1,0,1,0
frame_190.jpg,1,0,1,0
frame_191.jpg,1,0,1,0
frame_192.jpg,1,0,1,0
frame_193.jpg,1,0,1,0
frame_194.jpg,1,0,1,0
frame_195.jpg,1,0,1,0
frame_196.jpg,1,0,1,0
frame_197.jpg,1,0,1,0
frame_198.jpg,1,0,1,0
frame_199.jpg,1,0,1,0
frame_200.jpg,1,0,1,0
frame_201.jpg,1,0,1,0
frame_202.jpg,1,0,1,0
frame_203.jpg,1,0,1,0
frame_204.jpg,1,0,1,0
frame_205.jpg,1,0,1,0
frame_206.jpg,1,0,1,0
frame_207.jpg,1,0,1,0
frame_208.jpg,1,0,1,0
frame_209.jpg,1,0,1,0
frame_210.jpg,1,0,1,0
frame_211.jpg,1,0,1,0
frame_212.jpg,1,0,1,0
frame_213.jpg,1,0,1,0
frame_214.jpg,1,0,1,0
frame_215.jpg,1,0,1,0
frame_216.jpg,1,0,1,0
frame_217.jpg,1,0,1,0
frame_218.jpg,1,0,1,0
frame_219.jpg,1,0,1,0
frame_220.jpg,1,0,1,0
frame_221.jpg,1,0,1,0
frame_222.jpg,1,0,1,0
frame_223.jpg,1,0,1,0
frame_224.jpg,1,0,1,0
frame_225.jpg,1,0,1,0
frame_226.jpg,1,0,1,0
frame_227.jpg,1,0,1,0
frame_228.jpg,1,0,1,0
frame_229.jpg,1,0,1,0
frame_230.jpg,1,0,1,0
frame_231.jpg,1,0,1,0
frame_232.jpg,1,0,1,0
frame_233.jpg,1,0,1,0
frame_234.jpg,1,0,1,0
frame_235.jpg,1,0,1,0
frame_236.jpg,1,0,1,0
frame_237.jpg,1,0,1,0
frame_238.jpg,1,0,1,0
frame_239.jpg,1,0,1,0
frame_240.jpg,1,0,1,0
